parentjobid;parentjobname;jobid;parent_job_id;jobname;jobcommandtype;jobprogress;jobpriority;jobstate;id;taskindex;externalid;taskname;taskstate;command_line;command_exe;command_args
37;X_Omen Savings Cas 02 OmenLaunch;2;1;X_Omen Savings Cas 02 OmenLaunch_sto_pricer_1;1;0;Lowest;Created;21;12;;X_Omen Savings Cas 02 OmenLaunch_sto_pricer_1_11;Created;\\cvsagg904\work\applinx_moses\13199938665250817597705331925\2026.01.00_merge_infra_vprod_vrepartprop_vcdr\OmenRun\bin\Release\OmenRun.exe params_stochastic_pricer_12_1.xml;\\cvsagg904\work\applinx_moses\13199938665250817597705331925\2026.01.00_merge_infra_vprod_vrepartprop_vcdr\OmenRun\bin\Release\OmenRun.exe;params_stochastic_pricer_12_1.xml
37;X_Omen Savings Cas 02 OmenLaunch;2;1;X_Omen Savings Cas 02 OmenLaunch_sto_pricer_1;1;0;Lowest;Created;22;13;;X_Omen Savings Cas 02 OmenLaunch_sto_pricer_1_12;Created;\\cvsagg904\work\applinx_moses\13199938665250817597705331925\2026.01.00_merge_infra_vprod_vrepartprop_vcdr\OmenRun\bin\Release\OmenRun.exe params_stochastic_pricer_13_1.xml;\\cvsagg904\work\applinx_moses\13199938665250817597705331925\2026.01.00_merge_infra_vprod_vrepartprop_vcdr\OmenRun\bin\Release\OmenRun.exe;params_stochastic_pricer_13_1.xml
37;X_Omen Savings Cas 02 OmenLaunch;2;1;X_Omen Savings Cas 02 OmenLaunch_sto_pricer_1;1;0;Lowest;Created;23;14;;X_Omen Savings Cas 02 OmenLaunch_sto_pricer_1_13;Created;\\cvsagg904\work\applinx_moses\13199938665250817597705331925\2026.01.00_merge_infra_vprod_vrepartprop_vcdr\OmenRun\bin\Release\OmenRun.exe params_stochastic_pricer_14_1.xml;\\cvsagg904\work\applinx_moses\13199938665250817597705331925\2026.01.00_merge_infra_vprod_vrepartprop_vcdr\OmenRun\bin\Release\OmenRun.exe;params_stochastic_pricer_14_1.xml
37;X_Omen Savings Cas 02 OmenLaunch;2;1;X_Omen Savings Cas 02 OmenLaunch_sto_pricer_1;1;0;Lowest;Created;24;15;;X_Omen Savings Cas 02 OmenLaunch_sto_pricer_1_14;Created;\\cvsagg904\work\applinx_moses\13199938665250817597705331925\2026.01.00_merge_infra_vprod_vrepartprop_vcdr\OmenRun\bin\Release\OmenRun.exe params_stochastic_pricer_15_1.xml;\\cvsagg904\work\applinx_moses\13199938665250817597705331925\2026.01.00_merge_infra_vprod_vrepartprop_vcdr\OmenRun\bin\Release\OmenRun.exe;params_stochastic_pricer_15_1.xml
37;X_Omen Savings Cas 02 OmenLaunch;2;1;X_Omen Savings Cas 02 OmenLaunch_sto_pricer_1;1;0;Lowest;Created;25;16;;X_Omen Savings Cas 02 OmenLaunch_sto_pricer_1_15;Created;\\cvsagg904\work\applinx_moses\13199938665250817597705331925\2026.01.00_merge_infra_vprod_vrepartprop_vcdr\OmenRun\bin\Release\OmenRun.exe params_stochastic_pricer_16_1.xml;\\cvsagg904\work\applinx_moses\13199938665250817597705331925\2026.01.00_merge_infra_vprod_vrepartprop_vcdr\OmenRun\bin\Release\OmenRun.exe;params_stochastic_pricer_16_1.xml
37;X_Omen Savings Cas 02 OmenLaunch;2;1;X_Omen Savings Cas 02 OmenLaunch_sto_pricer_1;1;0;Lowest;Created;26;17;;X_Omen Savings Cas 02 OmenLaunch_sto_pricer_1_16;Created;\\cvsagg904\work\applinx_moses\13199938665250817597705331925\2026.01.00_merge_infra_vprod_vrepartprop_vcdr\OmenRun\bin\Release\OmenRun.exe params_stochastic_pricer_17_1.xml;\\cvsagg904\work\applinx_moses\13199938665250817597705331925\2026.01.00_merge_infra_vprod_vrepartprop_vcdr\OmenRun\bin\Release\OmenRun.exe;params_stochastic_pricer_17_1.xml
37;X_Omen Savings Cas 02 OmenLaunch;2;1;X_Omen Savings Cas 02 OmenLaunch_sto_pricer_1;1;0;Lowest;Created;27;18;;X_Omen Savings Cas 02 OmenLaunch_sto_pricer_1_17;Created;\\cvsagg904\work\applinx_moses\13199938665250817597705331925\2026.01.00_merge_infra_vprod_vrepartprop_vcdr\OmenRun\bin\Release\OmenRun.exe params_stochastic_pricer_18_1.xml;\\cvsagg904\work\applinx_moses\13199938665250817597705331925\2026.01.00_merge_infra_vprod_vrepartprop_vcdr\OmenRun\bin\Release\OmenRun.exe;params_stochastic_pricer_18_1.xml
37;X_Omen Savings Cas 02 OmenLaunch;2;1;X_Omen Savings Cas 02 OmenLaunch_sto_pricer_1;1;0;Lowest;Created;28;19;;X_Omen Savings Cas 02 OmenLaunch_sto_pricer_1_18;Created;\\cvsagg904\work\applinx_moses\13199938665250817597705331925\2026.01.00_merge_infra_vprod_vrepartprop_vcdr\OmenRun\bin\Release\OmenRun.exe params_stochastic_pricer_19_1.xml;\\cvsagg904\work\applinx_moses\13199938665250817597705331925\2026.01.00_merge_infra_vprod_vrepartprop_vcdr\OmenRun\bin\Release\OmenRun.exe;params_stochastic_pricer_19_1.xml
37;X_Omen Savings Cas 02 OmenLaunch;2;1;X_Omen Savings Cas 02 OmenLaunch_sto_pricer_1;1;0;Lowest;Created;29;20;;X_Omen Savings Cas 02 OmenLaunch_sto_pricer_1_19;Created;\\cvsagg904\work\applinx_moses\13199938665250817597705331925\2026.01.00_merge_infra_vprod_vrepartprop_vcdr\OmenRun\bin\Release\OmenRun.exe params_stochastic_pricer_20_1.xml;\\cvsagg904\work\applinx_moses\13199938665250817597705331925\2026.01.00_merge_infra_vprod_vrepartprop_vcdr\OmenRun\bin\Release\OmenRun.exe;params_stochastic_pricer_20_1.xml
37;X_Omen Savings Cas 02 OmenLaunch;2;1;X_Omen Savings Cas 02 OmenLaunch_sto_pricer_1;1;0;Lowest;Created;30;21;;X_Omen Savings Cas 02 OmenLaunch_sto_pricer_1_20;Created;\\cvsagg904\work\applinx_moses\13199938665250817597705331925\2026.01.00_merge_infra_vprod_vrepartprop_vcdr\OmenRun\bin\Release\OmenRun.exe params_stochastic_pricer_21_1.xml;\\cvsagg904\work\applinx_moses\13199938665250817597705331925\2026.01.00_merge_infra_vprod_vrepartprop_vcdr\OmenRun\bin\Release\OmenRun.exe;params_stochastic_pricer_21_1.xml
